media_id,Media_vehicle
16801,Public Utility -  Outside Thapar Chamber Maharani Bagh - DND to Ashram
16802,Public Utility - Near Adchini Aurobindo marg -  Mehrauli to AIIMS
16803,Smart Bus Shelter -  Yusuf Sarai Aurobindo Marg - Safdarjung Airport to IIT gate
16804,Smart Bus Shelter -  Yusuf Sarai Aurobindo Marg - IIT gate to Safdarjung Airport
16805,Smart Bus Shelter -  Safdarjung Airport Aurobindo Marg -  AIIMS to Lodhi Garden
16806,Smart Bus Shelter -  Safdarjung Airport Aurobindo Marg -  AIIMS to Lodhi Garden
16807,Smart Bus Shelter -  Safdarjung Airport Aurobindo Marg -  Tughlak Road to AIIMS
16808,Smart Bus Shelter -  Safdarjung Airport Aurobindo Marg -  Tughlak Road to AIIMS
16809,Smart Bus Shelter -  Safdarjung Madarsa Aurobindo Marg -  AIIMS to Tughlak Road
16810,Smart Bus Shelter -  Safdarjung Madarsa Aurobindo Marg -  Tughlak Road to AIIMS
16830,Metro Pillars -  Mohan Estate - Delhi to Faridabad
16831,Metro Pillars -  Tughlakabad - Delhi to Faridabad
16832,Metro Pillars -  Badarpur - Delhi to Faridabad
16856,Mini Unipole -  Africa Avenue August Kranti Bhawan -  R K Puram to Ring Road
16858,Flag Sign -  Africa Avenue - R K Puram to Ring road
16864,Smart Bus Shelter - Africa Avenue M-Block Chanakyapuri - Ring road to Chanakyapuri
16865,Smart Bus Shelter - Africa Avenue M-Block Chanakyapuri - Ring road to Chanakyapuri
16866,Smart Bus Shelter - Satya marg Opposite Chanakya Cinema Chanakyapuri -  Sarojini Nagar to Shanti Path
16867,Smart Bus Shelter - Satya marg Opposite Chanakya Cinema Chanakyapuri -  Shanti Path to Chanakyapuri
16868,Smart Bus Shelter - Teen Murti road Police station Chanakyapuri -  Shanti Path to Teen Murti
16869,Smart Bus Shelter - Teen Murti road Police station Chanakyapuri -  Shanti Path to Teen Murti
16870,Smart Bus Shelter - Vinay marg Ashoka hotel Chanakyapuri - Chanakyapuri to Delhi Race club
16871,Smart Bus Shelter - Vinay marg Ashoka hotel Chanakyapuri - Delhi Race club to Diplomatic Enclave
16872,Smart Bus Shelter - Vinay marg Palika club Chanakyapuri -  Sarojini Nagar to Panchsheel Marg
