,media_id,Illumination
584,25762,Backlit
585,26245,Backlit
586,26246,Backlit
587,26021,Frontlit
588,26028,Backlit
589,26234,Backlit
590,26236,Backlit
591,26237,Backlit
592,26239,Backlit
593,26240,Backlit
594,26244,Backlit
595,26247,Backlit
596,26248,Backlit
597,26249,Backlit
598,26257,Frontlit
599,26261,Backlit
600,26264,Backlit
601,26265,Backlit
602,26267,Backlit
603,26268,Frontlit
604,26280,Frontlit
605,26283,Backlit
606,26290,Frontlit
607,26300,Frontlit
608,26304,Frontlit
609,26306,Frontlit
610,26863,Frontlit
611,26362,Frontlit
612,26363,Frontlit
613,26364,Frontlit
614,26365,Frontlit
615,26372,Backlit
616,26775,Frontlit
617,26783,Frontlit
618,26945,Frontlit
619,26947,Frontlit
620,26948,Frontlit
621,26949,Frontlit
622,26968,Frontlit
623,26970,Frontlit
624,26971,Frontlit
625,26972,Frontlit
626,26974,Frontlit
627,26976,Frontlit
628,26999,Frontlit
629,28142,Frontlit
630,27072,Frontlit
631,27297,Frontlit
632,27299,Frontlit
633,27300,Frontlit
634,27304,Frontlit
635,27305,Frontlit
636,27307,Frontlit
637,27308,Frontlit
638,27309,Frontlit
639,27310,Frontlit
640,27311,Frontlit
641,27312,Frontlit
642,27313,Frontlit
643,27314,Frontlit
644,27323,Frontlit
645,27324,Frontlit
646,27326,Frontlit
647,27327,Frontlit
648,27328,Frontlit
649,27329,Frontlit
650,27330,Frontlit
651,27332,Frontlit
652,27333,Frontlit
653,27696,Frontlit
654,27749,Frontlit
655,27750,Frontlit
656,27751,Frontlit
657,27753,Frontlit
658,27769,Frontlit
659,28056,Frontlit
660,28057,Frontlit
661,28059,Frontlit
662,28060,Frontlit
663,28128,Frontlit
664,28259,Frontlit
665,28285,Frontlit
666,28287,Frontlit
667,17902,Frontlit
668,19429,Frontlit
669,19430,Frontlit
670,19431,Frontlit
671,19432,Frontlit
672,19433,Frontlit
673,19434,Frontlit
674,19435,Frontlit
675,19436,Frontlit
676,25381,Frontlit
677,25397,Frontlit
678,22762,Backlit
679,22763,Backlit
680,22764,Backlit
681,22765,Backlit
682,22766,Backlit
683,22767,Backlit
684,22768,Backlit
685,22769,Backlit
686,15991,Frontlit
687,15992,Frontlit
688,15993,Frontlit
689,15994,Frontlit
690,15995,Frontlit
691,15996,Frontlit
692,15997,Frontlit
693,15998,Frontlit
694,15999,Frontlit
695,16000,Frontlit
696,16001,Frontlit
697,16002,Frontlit
698,16003,Frontlit
699,16004,Frontlit
700,16005,Frontlit
701,16006,Frontlit
702,16007,Frontlit
703,16008,Frontlit
704,16009,Frontlit
705,16010,Frontlit
706,16011,Frontlit
707,16012,Frontlit
708,16013,Frontlit
709,16014,Frontlit
710,16015,Frontlit
711,16016,Frontlit
712,16017,Frontlit
713,16018,Frontlit
714,16019,Frontlit
715,16020,Frontlit
716,16021,Frontlit
717,16022,Frontlit
718,16023,Frontlit
719,16024,Frontlit
720,16025,Frontlit
721,16055,Frontlit
722,16056,Frontlit
723,16087,Frontlit
724,16088,Frontlit
725,16089,Frontlit
726,16090,Frontlit
727,16143,Frontlit
728,16144,Frontlit
729,16145,Frontlit
730,16146,Frontlit
731,16147,Frontlit
732,16148,Frontlit
733,16192,Frontlit
734,16198,Frontlit
735,16199,Frontlit
736,16200,Frontlit
737,16201,Frontlit
738,16202,Frontlit
739,16203,Frontlit
740,16205,Frontlit
741,16206,Frontlit
742,16231,Frontlit
743,16232,Frontlit
744,16307,Frontlit
745,16308,Frontlit
746,16309,Frontlit
747,16326,Frontlit
748,16327,Frontlit
749,16328,Frontlit
750,16329,Frontlit
751,16330,Frontlit
752,16331,Frontlit
753,16332,Frontlit
754,16333,Frontlit
755,16334,Frontlit
756,16335,Frontlit
757,16336,Frontlit
758,16337,Frontlit
759,16338,Frontlit
760,16360,Frontlit
761,16361,Frontlit
762,16362,Frontlit
763,16363,Frontlit
764,16483,Frontlit
765,16484,Frontlit
766,16485,Frontlit
767,16486,Frontlit
768,16487,Frontlit
769,16488,Frontlit
770,16489,Frontlit
771,16490,Frontlit
772,16491,Frontlit
773,16492,Frontlit
774,16493,Frontlit
775,16494,Frontlit
776,16495,Frontlit
777,16496,Frontlit
778,16497,Frontlit
779,16498,Frontlit
780,16499,Frontlit
781,16500,Frontlit
782,16501,Frontlit
783,16502,Frontlit
784,16503,Frontlit
785,16504,Frontlit
786,16505,Frontlit
787,16510,Frontlit
788,16765,Frontlit
789,16766,Frontlit
790,16767,Frontlit
791,16768,Frontlit
792,16769,Frontlit
793,16770,Frontlit
794,16771,Frontlit
795,16772,Frontlit
796,16773,Frontlit
797,16774,Backlit
798,16775,Backlit
799,16776,Frontlit
800,16777,Frontlit
801,16979,Frontlit
802,16980,Frontlit
803,17263,Frontlit
804,17264,Frontlit
805,17265,Backlit
806,17266,Frontlit
807,17267,Frontlit
808,17335,Frontlit
809,17417,Frontlit
810,17418,Frontlit
811,17419,Frontlit
812,17420,Frontlit
813,17421,Frontlit
814,17422,Frontlit
815,17423,Frontlit
816,17424,
817,17425,Frontlit
818,17426,Frontlit
819,17427,Frontlit
820,17428,Frontlit
821,17429,Frontlit
822,17430,Frontlit
823,17431,Frontlit
824,17432,Frontlit
825,17433,Frontlit
826,17434,Frontlit
827,17435,Frontlit
828,17436,Frontlit
829,17437,Frontlit
830,17438,Frontlit
831,17439,Frontlit
832,17440,Frontlit
833,17441,Frontlit
834,17442,Frontlit
835,17443,Frontlit
836,17444,Frontlit
837,17445,Frontlit
838,17446,Frontlit
839,17447,Frontlit
840,17448,Frontlit
841,17449,Frontlit
842,17571,Frontlit
843,17572,Frontlit
844,17573,Frontlit
845,17574,Frontlit
846,17575,Frontlit
847,17664,Frontlit
848,17665,Frontlit
849,17666,Backlit
850,17667,Frontlit
851,17668,Frontlit
852,17669,Frontlit
853,17797,Frontlit
854,17798,Frontlit
855,17799,Frontlit
856,17810,Frontlit
857,17811,Frontlit
858,17812,Frontlit
859,17903,Backlit
860,17905,Frontlit
861,19359,Frontlit
862,19360,Frontlit
863,19361,Frontlit
864,19362,Frontlit
865,19363,Frontlit
866,19364,Frontlit
867,19365,Frontlit
868,19366,Frontlit
869,19367,Frontlit
870,19368,Frontlit
871,19369,Frontlit
872,19370,Frontlit
873,19371,Frontlit
874,19372,Frontlit
875,19386,Frontlit
876,19387,Frontlit
877,19388,Frontlit
878,19389,Frontlit
879,19390,Frontlit
880,19391,Frontlit
881,19393,Frontlit
882,19394,Frontlit
883,19395,Frontlit
884,19396,Frontlit
885,19397,Frontlit
886,19398,Frontlit
887,19399,Frontlit
888,19400,Frontlit
889,19401,Frontlit
890,19402,Frontlit
891,19403,Frontlit
892,19404,Frontlit
893,19405,Frontlit
894,19406,Frontlit
895,19407,Frontlit
896,19408,Frontlit
897,19409,Frontlit
898,19411,Frontlit
899,19412,Frontlit
900,19437,Frontlit
901,19636,Nonlit
902,19637,Nonlit
903,19638,Nonlit
904,19639,Nonlit
905,19640,Nonlit
906,19641,Nonlit
907,19642,Nonlit
908,19746,Multiple
909,19747,Backlit
910,19748,Backlit
911,19765,Frontlit
912,21057,
913,21716,Frontlit
914,21717,Frontlit
915,25437,Frontlit
916,25438,Frontlit
917,21719,Frontlit
918,21720,Frontlit
919,21721,Frontlit
920,21722,Frontlit
921,21723,Frontlit
922,21724,Frontlit
923,21725,Frontlit
924,21726,Frontlit
925,21727,Frontlit
926,21728,Frontlit
927,21729,Frontlit
928,21730,Frontlit
929,21731,Frontlit
930,21732,Frontlit
931,21733,Frontlit
932,21734,Frontlit
933,21735,Frontlit
934,21736,Frontlit
935,21737,Frontlit
936,21738,Frontlit
937,21739,Frontlit
938,21770,Frontlit
939,21771,Frontlit
940,21772,Frontlit
941,21773,Nonlit
942,21774,Frontlit
943,21775,Frontlit
944,21776,Frontlit
945,21777,Frontlit
946,21778,Frontlit
947,21779,Frontlit
948,21780,Frontlit
949,21781,Frontlit
950,21782,Frontlit
951,21783,Frontlit
952,21784,Frontlit
953,21785,Frontlit
954,23999,Nonlit
955,24001,Nonlit
956,24002,Nonlit
957,24056,Frontlit
958,24057,Frontlit
959,24058,Frontlit
960,24059,Frontlit
961,24131,Nonlit
962,24132,Nonlit
963,24133,Nonlit
964,24134,Nonlit
965,24135,Nonlit
966,24136,Nonlit
967,24137,Nonlit
968,24138,Nonlit
969,24139,Nonlit
970,24140,Nonlit
971,24141,Nonlit
972,24142,Nonlit
973,24143,Nonlit
974,24144,Nonlit
975,24145,Nonlit
976,24146,Nonlit
977,24147,Nonlit
978,24156,Frontlit
979,24157,Frontlit
980,24158,Frontlit
981,25382,Frontlit
982,25383,Frontlit
983,25385,Backlit
984,25386,Frontlit
985,25387,Frontlit
986,25388,Frontlit
987,25389,Frontlit
988,25390,Frontlit
989,25391,Frontlit
990,25392,Frontlit
991,25393,Frontlit
992,25394,Frontlit
993,25395,Frontlit
994,25396,Nonlit
995,25398,Backlit
996,25401,Backlit
997,25402,Backlit
998,25403,Frontlit
999,25404,Frontlit
1000,25405,Frontlit
1001,25406,Backlit
1002,25407,Frontlit
1003,25408,Frontlit
1004,25409,Frontlit
1005,25410,Frontlit
1006,25411,Frontlit
1007,25412,Frontlit
1008,25414,Frontlit
1009,25415,Frontlit
1010,25416,Frontlit
1011,25417,Frontlit
1012,25418,Frontlit
1013,25419,Frontlit
1014,25420,Frontlit
1015,25422,Frontlit
1016,25423,Frontlit
1017,25424,Frontlit
1018,25425,Frontlit
1019,25426,Frontlit
1020,25427,Frontlit
1021,25428,
1022,25429,Frontlit
1023,25430,Frontlit
1024,25431,Frontlit
1025,25432,Frontlit
1026,25433,Frontlit
1027,25434,Frontlit
1028,25435,Frontlit
1029,25436,Frontlit
1030,25439,Frontlit
1031,25440,Frontlit
1032,25441,Frontlit
1033,25444,Backlit
1034,25445,Frontlit
1035,25446,Frontlit
1036,25447,Frontlit
1037,25448,Frontlit
1038,25449,Frontlit
1039,25450,Frontlit
1040,25451,Frontlit
1041,25452,Frontlit
1042,25453,Frontlit
1043,25455,Backlit
1044,25456,Frontlit
1045,25457,Frontlit
1046,25458,Frontlit
1047,25459,Frontlit
1048,25460,Backlit
1049,25461,Backlit
1050,25462,Frontlit
1051,25463,Frontlit
1052,25464,Frontlit
1053,25465,Frontlit
1054,25466,Frontlit
1055,25467,Frontlit
1056,25468,Frontlit
1057,25470,Frontlit
1058,25471,Frontlit
1059,25472,Frontlit
1060,25474,Frontlit
1061,25475,Frontlit
1062,25476,Frontlit
1063,25477,Frontlit
1064,26305,Frontlit
1065,26307,Frontlit
1066,27115,Frontlit
1067,27732,Nonlit
1068,27733,Nonlit
1069,27734,Nonlit
