Sr No.,Location,Description,LIT,Size,Link,Image Name
7,Afzalgunj  ,National Hotel ftf.    Nayapool L,LIT,60x25,http://www.prakasharts.com/code1/3027.Afzalgunj Above National Lodge Fg Nayapool 60x25_Pepsi-2.JPG,1_O51620_thumb_front.jpg
8,Afzalgunj  ,Osmania Jubilee Block    Cr ftf. Afzalgunj,C,50x20,http://www.prakasharts.com/code1/3028. Afzalgunj Adj Workshops  osmangunj road50x20_2.JPG,1_O51621_thumb_front.jpg
9,Ameerpet Center,on way to Greenlands    ftf. Ameerpet Jn,P,50x20,http://www.prakasharts.com/code1/3029. Ameerpet onway to Greenlands 50x20_2.JPG,1_O51622_thumb_front.jpg
10,Ameerpet Center,Junction; ftf. SR    Nagar,LIT,40x25,http://www.prakasharts.com/code1/3030. Ameerpet Junction Fg S.R.Nagar 40x25_Fuel.JPG,1_O51623_thumb_front.jpg
11,Ameerpet Center,Vangapalli ftf.    Ameerpet Jn; Lalbungalow,LIT,46x25,http://www.prakasharts.com/code1/3031. Ameerpet cr fg; Greenlands 46x25_1.JPG,1_O51624_thumb_front.jpg
12,Ameerpet Center,SVR Travels; Ameerpet    Jn ftf. Panjagutta,p,40x20,http://www.prakasharts.com/code1/3032. Ameerpet x Roads 40x20_1.JPG,1_O51625_thumb_front.jpg
13,Ameerpet Center,SVR Travels; Ameerpet    Jn; ftf. SR Nagar,p,50x25,http://www.prakasharts.com/code1/3033. Ameerpet Cr towards Pajagutta fg;Jn 50x25_.JPG,1_O51626_thumb_front.jpg
14,Ameerpet Center,Near Eenadu office    ftf. Ameerpet Jn,LIT,30x25,http://www.prakasharts.com/code1/3034. Ameerpet Cr towards Panjagutta fg; Jn 30x25_J.C. BRO.JPG,1_O51627_thumb_front.jpg
15,Ameerpet Center,top of V I P; nr    Lalbangalow ftf. Greenlands,LIT,50x25,http://www.prakasharts.com/code1/3036. Ameerpet  LalBunglow Above Vip World Fg Greenlands 50x25.JPG,1_O51628_thumb_front.jpg
16,Ameerpet Center,opp. Mytrivanam; ftf.    Ameerpet,LIT,50x25,http://www.prakasharts.com/code1/3037. Ameerpet Opp; Mytrivanam Fg Ameerpet 50x25.jpg,1_O51629_thumb_front.jpg
17,Ameerpet Center,opp. Mytrivanam; ftf:    SR Nagar,LIT,50x25,http://www.prakasharts.com/code1/3038. Ameerpet Opp; Mytrivanam fg SR. Nagar 50x25_AXEE.JPG,1_O51630_thumb_front.jpg
18,Ameerpet Center,Goldencave Bar; ftf.    Ameerpet,LIT,40x25,http://www.prakasharts.com/code1/3041.Ameerpet Above Golden Cave  Fg SR. Ameerpet 40x25_TOP ROMEN.JPG,1_O51631_thumb_front.jpg
19,Ameerpet Center,Goldencave Bar; ftf.    SR Nagar,LIT,40x25,http://www.prakasharts.com/code1/3042. Ameerpet Above Goldencave fg; SR Nagar 40x25_3.JPG,1_O51632_thumb_front.jpg
20,Balanagar,Junction; top of    Wines Shop ftf. Fatenagar,C,30x20,http://www.prakasharts.com/code1/3044. Balanagar Fg Fatehnagar Bridge 30x20_COUPUN.JPG,1_O51633_thumb_front.jpg
21,Balanagar,Junction ftf.    Fatehnagar,C,30x30,http://www.prakasharts.com/code1/3045. Balanagar Hotel Everest 30x30_2.JPG,1_O51634_thumb_front.jpg
25,Banjara Hills ,Diamond Tea Point    ftf: Masabtank,LIT,40x20,http://www.prakasharts.com/code1/3050. Banjara hills Road 1 Adj; Khaja Mansion 40x20_Cotton wrld.JPG,1_O51635_thumb_front.jpg
26,Banjara Hills ,near Barista ftf. Taj    Banjara; Care Hospital,LIT,40x25,http://www.prakasharts.com/code1/3051. Banjara Hills Near Chevrolet 40x25.JPG,1_O51636_thumb_front.jpg
27,Banjara Hills ,Nag. Cr G S Chambers    ftf. GVK,LIT,60x25,http://www.prakasharts.com/code1/3052.  Banjara Hills  Nagarjuna Circle Fg Taj 60x25_2.JPG,1_O51637_thumb_front.jpg
28,Banjara Hills ,Nag. Cr; G S Chambers    ftf. GVK,LIT,50x25,http://www.prakasharts.com/code1/3053.  Banjara Hills  Nagarjuna Circle Fg Taj 50x25_l.JPG,1_O51638_thumb_front.jpg
29,Banjara Hills ,Nag. Cr; adj. G S    Chambers; fg. GVK,LIT,60x25,http://www.prakasharts.com/code1/3054.  Banjara Hills  Nagarjuna Circle Fg Jubilee Hills 50x25_BOTTLES &amp; CHIMNEYS.JPG,1_O51639_thumb_front.jpg
